"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"70% alcohol hand sanitizer (no water)","76618-001-01","70 mL/100mL","GEL","TOPICAL","part333A","Star USA Imports Inc","76618-001","ALCOHOL","ALCOHOL","HUMAN OTC DRUG","04/22/2020","N/A","OTC MONOGRAPH NOT FINAL","295 mL in 1 BOTTLE (76618-001-01)","N/A","N/A","No","12/31/2024"
"Above Mouthwash Antiseptic","73306-1160-1",".075 mg/500g,                         .3  mg/500g,                         .25  mg/500g","MOUTHWASH","BUCCAL; DENTAL","M021","BASTON INDUSTRIA DE AEROSSOIS LTDA","73306-1160","Above Mouthwash Antiseptic","CETYLPYRIDINIUM CHLORIDE;  MENTHOL;  METHYL SALICYLATE","HUMAN OTC DRUG","07/24/2023","N/A","OTC MONOGRAPH FINAL","500 g in 1 BOTTLE, PLASTIC (73306-1160-1)","N/A","N/A","No","12/31/2024"
"Acarbose","71335-9725-1","50 mg/1","TABLET","ORAL","ANDA202271","Bryant Ranch Prepack","71335-9725","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","05/30/2023","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-9725-1)","alpha Glucosidase Inhibitors [MoA],  alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2024"
"Acarbose","71335-9725-2","50 mg/1","TABLET","ORAL","ANDA202271","Bryant Ranch Prepack","71335-9725","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","05/30/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-9725-2)","alpha Glucosidase Inhibitors [MoA],  alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2024"
"Acarbose","71335-9725-3","50 mg/1","TABLET","ORAL","ANDA202271","Bryant Ranch Prepack","71335-9725","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","05/30/2023","N/A","ANDA","100 TABLET in 1 BOTTLE (71335-9725-3)","alpha Glucosidase Inhibitors [MoA],  alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2024"
"Acetylcholine Chloride","43742-0817-1","6 [hp_X]/mL","LIQUID","ORAL","","Deseret Biologicals, Inc.","43742-0817","Acetylcholine Chloride","ACETYLCHOLINE CHLORIDE","HUMAN OTC DRUG","07/21/2016","09/15/2028","UNAPPROVED HOMEOPATHIC","30 mL in 1 BOTTLE, DROPPER (43742-0817-1)","Cholinergic Agonists [MoA],  Cholinergic Receptor Agonist [EPC]","N/A","No","N/A"
"Acyclovir","43063-589-30","800 mg/1","TABLET","ORAL","ANDA203834","PD-Rx Pharmaceuticals, Inc.","43063-589","Acyclovir","ACYCLOVIR","HUMAN PRESCRIPTION DRUG","09/29/2015","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (43063-589-30)","DNA Polymerase Inhibitors [MoA],  Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Nucleoside Analog [EXT]","N/A","No","12/31/2024"
"Acyclovir","43063-589-35","800 mg/1","TABLET","ORAL","ANDA203834","PD-Rx Pharmaceuticals, Inc.","43063-589","Acyclovir","ACYCLOVIR","HUMAN PRESCRIPTION DRUG","08/06/2015","N/A","ANDA","35 TABLET in 1 BOTTLE, PLASTIC (43063-589-35)","DNA Polymerase Inhibitors [MoA],  Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Nucleoside Analog [EXT]","N/A","No","12/31/2024"
"Acyclovir","43063-589-10","800 mg/1","TABLET","ORAL","ANDA203834","PD-Rx Pharmaceuticals, Inc.","43063-589","Acyclovir","ACYCLOVIR","HUMAN PRESCRIPTION DRUG","08/04/2016","N/A","ANDA","10 TABLET in 1 BOTTLE, PLASTIC (43063-589-10)","DNA Polymerase Inhibitors [MoA],  Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Nucleoside Analog [EXT]","N/A","No","12/31/2024"
"Acyclovir","43063-589-50","800 mg/1","TABLET","ORAL","ANDA203834","PD-Rx Pharmaceuticals, Inc.","43063-589","Acyclovir","ACYCLOVIR","HUMAN PRESCRIPTION DRUG","09/11/2015","N/A","ANDA","50 TABLET in 1 BOTTLE, PLASTIC (43063-589-50)","DNA Polymerase Inhibitors [MoA],  Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],  Nucleoside Analog [EXT]","N/A","No","12/31/2024"
"ADAPALENE AND BENZOYL PEROXIDE","72162-1432-2","3 mg/g,                         25  mg/g","GEL","TOPICAL","ANDA212464","Bryant Ranch Prepack","72162-1432","adapalene and benzoyl peroxide","ADAPALENE;  BENZOYL PEROXIDE","HUMAN PRESCRIPTION DRUG","03/13/2024","N/A","ANDA","45 g in 1 BOTTLE, PUMP (72162-1432-2)","Retinoid [EPC],  Retinoids [CS]","N/A","No","12/31/2025"
"ADCETRIS","51144-050-01","50 mg/10.5mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","BLA125388","SEAGEN INC.","51144-050","brentuximab vedotin","BRENTUXIMAB VEDOTIN","HUMAN PRESCRIPTION DRUG","08/25/2011","N/A","BLA","1 VIAL, SINGLE-DOSE in 1 BOX (51144-050-01)  / 10.5 mL in 1 VIAL, SINGLE-DOSE","CD30-directed Antibody Interactions [MoA],  CD30-directed Immunoconjugate [EPC],  Immunoconjugates [CS],  Microtubule Inhibition [PE]","N/A","No","12/31/2024"
"Advanced Hand Sanitizer","76806-018-01",".75 mL/mL","GEL","TOPICAL","505G(a)(3)","Logomark Inc","76806-018","ALCOHOL","ALCOHOL","HUMAN OTC DRUG","06/20/2020","01/31/2026","OTC MONOGRAPH DRUG","2 mL in 1 BAG (76806-018-01)","N/A","N/A","No","N/A"
"Advil","0573-0133-01","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","08/11/2014","N/A","NDA","3000 PACKET in 1 CASE (0573-0133-01)  / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-02","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","50 PACKET in 1 TRAY (0573-0133-02)  / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-04","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","2 PACKET in 1 BLISTER PACK (0573-0133-04)  / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-05","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","2 PACKET in 1 CARTON (0573-0133-05)  / 2 TABLET, COATED in 1 PACKET","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-20","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-20)  / 20 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-91","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","12/01/2014","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-91)  / 180 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-40","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-40)  / 40 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-41","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","08/12/2015","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-41)  / 40 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-80","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-80)  / 80 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-81","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-81)  / 100 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-88","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","2 BOTTLE in 1 PACKAGE (0573-0133-88)  / 120 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"Advil","0573-0133-89","256 mg/1","TABLET, COATED","ORAL","NDA201803","Haleon US Holdings LLC","0573-0133","ibuprofen sodium","IBUPROFEN SODIUM","HUMAN OTC DRUG","07/08/2013","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0133-89)  / 160 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"ADVIL","0573-0161-35","200 mg/1","TABLET, COATED","ORAL","NDA018989","Haleon US Holdings LLC","0573-0161","ibuprofen","IBUPROFEN","HUMAN OTC DRUG","05/18/1984","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0161-35)  / 150 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"ADVIL","0573-0161-51","200 mg/1","TABLET, COATED","ORAL","NDA018989","Haleon US Holdings LLC","0573-0161","ibuprofen","IBUPROFEN","HUMAN OTC DRUG","05/18/1984","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0161-51)  / 200 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"ADVIL","0573-0161-85","200 mg/1","TABLET, COATED","ORAL","NDA018989","Haleon US Holdings LLC","0573-0161","ibuprofen","IBUPROFEN","HUMAN OTC DRUG","05/18/1984","N/A","NDA","1 BOTTLE in 1 CARTON (0573-0161-85)  / 225 TABLET, COATED in 1 BOTTLE","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
"ADVIL","0573-0161-65","200 mg/1","TABLET, COATED","ORAL","NDA018989","Haleon US Holdings LLC","0573-0161","ibuprofen","IBUPROFEN","HUMAN OTC DRUG","05/01/2017","N/A","NDA","65 TABLET, COATED in 1 BOTTLE (0573-0161-65)","Anti-Inflammatory Agents,  Non-Steroidal [CS],  Cyclooxygenase Inhibitors [MoA],  Nonsteroidal Anti-inflammatory Drug [EPC]","N/A","No","12/31/2025"
